Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
257,3.70E+13,1,1,6,6,0,0,0,0,0,45,3,137,8,420,1,2,0,2,1,46,12,7,45,3,32,0,0,2,0,5,9,2,1751,10,98,13,8,1,1,5,4,1
37,3.70E+13,1,1,3,3,0,0,0,0,0,24,7,302,5,189,0,0,0,0,0,58,21,5,23,2,18,2,2,4,0,6,9,1,1964,3,20,14,6,0,0,4,3,1
365,3.70E+13,3,3,3,3,0,0,0,0,0,30,4,208,7,412,0,0,0,3,1,56,29,5,14,2,9,3,0,7,0,11,11,1,1636,5,35,15,7,0,0,4,1,3
47,4.70E+13,3,1,5,5,0,0,0,0,0,38,5,242,7,439,1,0,0,0,0,30,38,4,13,0,0,5,0,0,0,7,16,1,2035,7,38,20,11,1,1,5,4,0
204,4.70E+13,1,1,2,1,0,0,0,0,0,16,7,281,3,169,0,0,1,1,0,39,46,8,26,2,15,19,0,4,0,6,5,0,1565,8,56,13,3,2,0,0,0,0
47,4.70E+13,3,1,2,2,0,0,0,0,0,17,5,218,4,243,0,1,0,2,0,36,46,4,9,1,5,2,1,3,0,10,8,1,1739,6,52,17,8,0,0,3,0,1
301,4.70E+13,0,0,4,4,0,0,0,0,0,28,4,169,5,319,2,0,0,1,1,38,30,6,19,3,14,6,0,4,0,17,5,0,1861,3,39,13,6,0,0,4,3,0
47,4.70E+13,2,2,2,2,0,0,0,0,0,20,6,251,5,296,1,0,0,1,0,43,22,6,19,1,1,0,2,4,0,3,17,2,1906,8,80,21,10,2,1,4,2,2
306,4.70E+13,1,1,5,5,0,0,0,0,0,38,4,169,7,464,2,0,0,3,2,53,18,9,21,2,10,0,1,10,0,7,12,0,1694,8,70,13,6,1,1,4,2,1
47,4.70E+13,3,2,5,4,0,0,0,0,0,40,3,135,8,515,1,0,0,2,1,50,28,7,21,3,14,0,2,1,0,7,19,1,1628,4,34,15,9,0,0,3,2,1
463,4.70E+13,0,0,5,5,1,0,0,0,0,41,4,171,7,478,4,0,0,2,2,43,20,4,9,1,4,4,1,3,0,7,17,1,1972,5,50,13,8,1,1,3,3,0
47,4.71E+13,3,2,3,3,0,0,0,0,0,27,3,131,6,367,1,0,0,3,0,35,24,8,53,5,47,0,1,4,0,2,16,1,1732,4,45,12,4,2,0,6,3,1
503,4.71E+13,0,0,3,3,0,0,0,0,0,21,6,224,4,186,1,0,0,2,1,31,32,7,39,4,35,0,1,3,0,2,13,2,1776,3,33,19,8,3,2,2,2,0
47,4.71E+13,3,2,4,4,0,0,0,0,0,34,2,84,6,353,2,0,0,2,0,48,38,3,16,1,7,0,2,1,2,15,12,0,1791,3,18,15,11,0,0,6,3,2
726,4.71E+13,3,1,4,4,0,0,0,0,0,31,1,44,6,378,2,0,0,3,2,44,22,2,6,0,0,0,2,2,0,24,3,0,1809,3,20,11,5,3,2,5,1,1
47,4.71E+13,2,2,3,3,0,0,0,0,0,27,10,453,6,383,3,0,0,0,0,51,32,7,21,4,17,0,0,2,0,2,15,2,1705,9,74,16,4,0,0,3,1,2
